ID;Kolejka;Data;Zespol1-Nazwa;Zespol1-Bramki;Zespol2-Nazwa;Zespol2-Bramki;Zespol1-Posiadanie piłki;Zespol1-Strzały;Zespol1-Strzały celne;Zespol1-Strzały niecelne;Zespol1-Strzały zablokowane;Zespol1-Ataki;Zespol1-Groźne ataki;Zespol1-Kartki;Zespol1-Faule;Zespol1-Rzuty wolne;Zespol1-Rzuty rożne;Zespol1-Spalone;Zespol2-Posiadanie piłki;Zespol2-Strzały;Zespol2-Strzały celne;Zespol2-Strzały niecelne;Zespol2-Strzały zablokowane;Zespol2-Ataki;Zespol2-Groźne ataki;Zespol2-Kartki;Zespol2-Faule;Zespol2-Rzuty wolne;Zespol2-Rzuty rożne;Zespol2-Spalone
69;22;2021-03-20 15:00:00;Śląsk Wrocław;0;Wisła Płock;0;43;16;3;7;6;93;74;3;23;10;9;1;57;14;5;6;3;90;70;0;9;24;5;1
70;22;2021-03-19 20:30:00;Pogoń Szczecin;1;Lechia Gdańsk;0;55;19;8;9;2;84;55;1;6;13;5;1;45;11;4;5;2;81;32;4;13;7;3;0
71;22;2021-03-19 18:00:00;Piast Gliwice;2;Cracovia;0;47;12;6;5;1;108;45;3;17;21;2;1;53;9;4;4;1;115;66;1;19;18;6;2
72;21;2021-03-15 18:00:00;Stal Mielec;2;Podbeskidzie;1;54;17;4;9;4;89;48;3;17;18;5;3;46;11;5;4;2;77;45;2;17;20;2;1
73;21;2021-03-14 17:30:00;Lech Poznań;0;Piast Gliwice;0;54;13;7;4;2;116;64;1;8;8;7;1;46;11;5;3;3;83;43;1;8;9;6;0
74;21;2021-03-14 15:00:00;Górnik Zabrze;2;Zagłębie Lubin;0;46;17;9;4;4;108;50;1;13;16;0;0;54;18;8;7;3;135;65;0;14;13;4;2
75;21;2021-03-13 20:00:00;Legia Warszawa;3;Warta Poznań;2;59;17;10;6;1;93;50;2;15;16;4;3;41;9;6;3;0;66;20;2;16;18;3;0
76;21;2021-03-13 17:30:00;Lechia Gdańsk;2;Wisła Kraków;0;46;15;7;8;0;100;48;1;19;16;5;2;54;16;4;12;0;110;71;2;14;21;7;2
77;21;2021-03-13 15:00:00;Wisła Płock;2;Raków Częstochowa;2;51;7;4;3;0;64;31;3;22;18;2;0;49;13;4;9;0;100;71;1;17;22;9;1
78;21;2021-03-12 20:30:00;Jagiellonia Białystok;0;Pogoń Szczecin;1;42;8;2;4;2;56;39;7;18;13;1;1;58;9;3;5;1;66;44;6;11;19;7;2
79;21;2021-03-12 18:00:00;Cracovia;1;Śląsk Wrocław;1;38;14;6;6;2;57;39;3;14;20;3;3;62;12;7;4;1;93;59;1;18;17;5;2
80;20;2021-03-08 18:00:00;Warta Poznań;2;Wisła Płock;0;48;8;5;3;0;91;49;1;18;13;4;1;52;10;2;8;0;124;68;2;12;19;4;1
81;20;2021-03-07 17:30:00;Śląsk Wrocław;0;Legia Warszawa;1;47;13;4;5;4;76;29;3;17;14;2;0;53;11;2;6;3;84;53;2;11;17;4;3
82;20;2021-03-07 15:00:00;Pogoń Szczecin;0;Lech Poznań;1;57;15;5;6;4;92;65;2;12;17;8;1;43;10;4;4;2;57;31;1;16;13;3;1
83;20;2021-03-07 12:30:00;Piast Gliwice;2;Stal Mielec;1;58;15;3;6;6;84;50;0;10;22;4;1;42;14;8;5;1;54;34;2;19;11;2;3
84;20;2021-03-06 20:00:00;Raków Częstochowa;0;Cracovia;0;50;6;1;4;1;82;50;4;16;18;4;2;50;9;2;6;1;79;33;2;18;18;1;0
85;20;2021-03-06 17:30:00;Zagłębie Lubin;3;Jagiellonia Białystok;0;52;23;8;10;5;66;56;4;15;12;10;2;48;9;2;7;0;68;34;3;12;17;1;0
86;20;2021-03-06 15:00:00;Podbeskidzie;2;Lechia Gdańsk;2;52;8;4;4;0;65;33;1;15;14;2;0;48;15;7;8;0;80;54;2;13;15;4;2
87;20;2021-03-05 20:30:00;Wisła Kraków;0;Górnik Zabrze;0;55;16;3;5;8;96;53;3;22;20;9;5;45;12;4;3;5;88;53;1;20;27;10;0
88;19;2021-02-28 17:30:00;Śląsk Wrocław;2;Pogoń Szczecin;1;34;8;3;3;2;53;34;1;15;12;7;2;66;15;6;6;3;97;61;1;10;17;11;2
89;19;2021-02-28 15:00:00;Cracovia;2;Zagłębie Lubin;4;50;12;3;3;6;111;69;7;17;19;3;3;50;20;11;6;3;92;82;4;15;20;8;4
90;19;2021-02-28 12:30:00;Wisła Płock;1;Wisła Kraków;3;51;10;3;7;0;70;48;1;25;11;2;1;49;11;7;4;0;62;29;2;11;26;2;0
91;19;2021-02-27 20:00:00;Górnik Zabrze;1;Legia Warszawa;2;46;14;4;8;2;117;50;4;21;13;7;1;54;14;3;2;9;112;48;3;11;22;7;2
